DATE,USALORSGPNOSTSAM
2000-01-01,101.4913973
2000-02-01,101.5524452
2000-03-01,101.6269063
2000-04-01,101.6981605
2000-05-01,101.740194
2000-06-01,101.732697
2000-07-01,101.6782984
2000-08-01,101.5888958
2000-09-01,101.4754871
2000-10-01,101.3407527
2000-11-01,101.1836476
2000-12-01,101.0056505
2001-01-01,100.8186916
2001-02-01,100.6361831
2001-03-01,100.4649786
2001-04-01,100.2972813
2001-05-01,100.1209299
2001-06-01,99.92942894
2001-07-01,99.73257891
2001-08-01,99.54789353
2001-09-01,99.39263745
2001-10-01,99.27522739
2001-11-01,99.19814233
2001-12-01,99.15813617
2002-01-01,99.14357495
2002-02-01,99.14002114
2002-03-01,99.13397384
2002-04-01,99.11582146
2002-05-01,99.07890056
2002-06-01,99.01941785
2002-07-01,98.9376975
2002-08-01,98.83690872
2002-09-01,98.72337383
2002-10-01,98.60822309
2002-11-01,98.50461942
2002-12-01,98.42513545
2003-01-01,98.37833657
2003-02-01,98.37120669
2003-03-01,98.40918725
2003-04-01,98.49332542
2003-05-01,98.62154527
2003-06-01,98.78650815
2003-07-01,98.97018537
2003-08-01,99.15104312
2003-09-01,99.30983518
2003-10-01,99.43556737
2003-11-01,99.52336745
2003-12-01,99.5746348
2004-01-01,99.59982578
2004-02-01,99.61250892
2004-03-01,99.62529023
2004-04-01,99.64667154
2004-05-01,99.68209524
2004-06-01,99.73439365
2004-07-01,99.80325341
2004-08-01,99.88684745
2004-09-01,99.98230598
2004-10-01,100.085166
2004-11-01,100.1898009
2004-12-01,100.2893711
2005-01-01,100.3757114
2005-02-01,100.4416474
2005-03-01,100.4843456
2005-04-01,100.5102067
2005-05-01,100.5292148
2005-06-01,100.5506252
2005-07-01,100.579304
2005-08-01,100.6181143
2005-09-01,100.6699326
2005-10-01,100.739098
2005-11-01,100.8278363
2005-12-01,100.9316062
2006-01-01,101.0331896
2006-02-01,101.1116998
2006-03-01,101.1519593
2006-04-01,101.1557195
2006-05-01,101.1337728
2006-06-01,101.1008609
2006-07-01,101.0726688
2006-08-01,101.061965
2006-09-01,101.074679
2006-10-01,101.1049691
2006-11-01,101.142853
2006-12-01,101.1807841
2007-01-01,101.2199144
2007-02-01,101.2655829
2007-03-01,101.322957
2007-04-01,101.3924384
2007-05-01,101.4714696
2007-06-01,101.5556934
2007-07-01,101.639649
2007-08-01,101.7166642
2007-09-01,101.7789842
2007-10-01,101.8186172
2007-11-01,101.8296705
2007-12-01,101.8125098
2008-01-01,101.7801281
2008-02-01,101.7459877
2008-03-01,101.7131528
2008-04-01,101.6637462
2008-05-01,101.5685155
2008-06-01,101.3977696
2008-07-01,101.1357193
2008-08-01,100.7779173
2008-09-01,100.3351772
2008-10-01,99.8440816
2008-11-01,99.35015647
2008-12-01,98.89496789
2009-01-01,98.50395648
2009-02-01,98.19281481
2009-03-01,97.96914653
2009-04-01,97.82830426
2009-05-01,97.76251377
2009-06-01,97.76386837
2009-07-01,97.82185266
2009-08-01,97.92629747
2009-09-01,98.0661739
