DATE,DSPIC96
2000-01-01,9309.1
2000-02-01,9345.2
2000-03-01,9370.3
2000-04-01,9418.3
2000-05-01,9457.3
2000-06-01,9483.3
2000-07-01,9533.3
2000-08-01,9591.5
2000-09-01,9601.5
2000-10-01,9627.4
2000-11-01,9629.8
2000-12-01,9647.6
2001-01-01,9697.4
2001-02-01,9708.8
2001-03-01,9733.9
2001-04-01,9705.0
2001-05-01,9680.9
2001-06-01,9679.4
2001-07-01,9820.7
2001-08-01,9982.1
2001-09-01,9896.5
2001-10-01,9722.4
2001-11-01,9733.4
2001-12-01,9750.3
2002-01-01,9951.9
2002-02-01,9966.6
2002-03-01,9973.3
2002-04-01,10007.2
2002-05-01,10047.9
2002-06-01,10078.5
2002-07-01,10053.5
2002-08-01,10056.6
2002-09-01,10068.3
2002-10-01,10097.3
2002-11-01,10124.3
2002-12-01,10148.6
2003-01-01,10133.6
2003-02-01,10097.6
2003-03-01,10121.5
2003-04-01,10181.4
2003-05-01,10261.2
2003-06-01,10291.2
2003-07-01,10415.5
2003-08-01,10487.7
2003-09-01,10369.1
2003-10-01,10408.4
2003-11-01,10470.9
2003-12-01,10479.0
2004-01-01,10472.7
2004-02-01,10491.3
2004-03-01,10533.6
2004-04-01,10569.6
2004-05-01,10623.3
2004-06-01,10631.8
2004-07-01,10658.1
2004-08-01,10693.5
2004-09-01,10701.4
2004-10-01,10707.4
2004-11-01,10677.3
2004-12-01,11072.9
2005-01-01,10670.3
2005-02-01,10677.1
2005-03-01,10717.4
2005-04-01,10751.9
2005-05-01,10799.8
2005-06-01,10824.4
2005-07-01,10839.0
2005-08-01,10856.6
2005-09-01,10815.7
2005-10-01,10870.2
2005-11-01,10937.8
2005-12-01,10976.2
2006-01-01,11096.7
2006-02-01,11151.4
2006-03-01,11195.7
2006-04-01,11190.3
2006-05-01,11182.7
2006-06-01,11198.2
2006-07-01,11196.3
2006-08-01,11189.6
2006-09-01,11252.3
2006-10-01,11306.0
2006-11-01,11353.1
2006-12-01,11406.8
2007-01-01,11403.7
2007-02-01,11439.6
2007-03-01,11475.0
2007-04-01,11490.1
2007-05-01,11495.5
2007-06-01,11488.4
2007-07-01,11500.4
2007-08-01,11506.2
2007-09-01,11527.1
2007-10-01,11523.6
2007-11-01,11512.3
2007-12-01,11552.1
2008-01-01,11553.4
2008-02-01,11547.6
2008-03-01,11545.3
2008-04-01,11500.7
2008-05-01,12060.9
2008-06-01,11755.3
2008-07-01,11574.0
2008-08-01,11506.9
2008-09-01,11531.5
2008-10-01,11616.7
2008-11-01,11713.8
2008-12-01,11655.4
2009-01-01,11718.0
2009-02-01,11598.7
2009-03-01,11593.4
2009-04-01,11660.2
2009-05-01,11826.7
2009-06-01,11610.9
2009-07-01,11560.4
2009-08-01,11538.6
2009-09-01,11573.1
2009-10-01,11538.1
2009-11-01,11571.0
2009-12-01,11630.0
2010-01-01,11644.6
2010-02-01,11655.6
2010-03-01,11702.1
2010-04-01,11799.8
2010-05-01,11887.9
2010-06-01,11895.0
2010-07-01,11910.8
2010-08-01,11949.7
2010-09-01,11949.4
2010-10-01,11950.4
2010-11-01,11960.5
2010-12-01,12030.1
2011-01-01,12084.4
2011-02-01,12117.0
2011-03-01,12083.3
2011-04-01,12061.3
2011-05-01,12043.2
2011-06-01,12087.9
2011-07-01,12128.6
2011-08-01,12120.6
2011-09-01,12104.0
2011-10-01,12117.0
2011-11-01,12112.6
2011-12-01,12227.3
2012-01-01,12311.1
2012-02-01,12384.8
2012-03-01,12431.1
2012-04-01,12486.5
2012-05-01,12490.2
2012-06-01,12482.6
2012-07-01,12396.5
2012-08-01,12364.4
2012-09-01,12453.3
2012-10-01,12538.2
2012-11-01,12702.9
2012-12-01,13011.6
2013-01-01,12258.9
2013-02-01,12224.9
2013-03-01,12262.1
2013-04-01,12299.0
2013-05-01,12358.6
2013-06-01,12361.7
2013-07-01,12350.6
2013-08-01,12379.6
